중소벤처기업협회 공시자료 기준 : http://diva.kvca.or.kr/div/dic/DivDisclsListInq (기준 일자 : 22.02.22),,,,,,,,,
회사명,전화번호,팩스번호,홈페이지주소,종업원수,사업자번호,결산월,주소,설립일자,공시담당자
쿼드벤처스,02-2052-0610,02-2052-0611,vc.quadim.com,6명 (남:5명/여:1명),564-86-01512,12월,"(06167)  서울특별시 강남구 삼성로100길 24-2   B동 7층 (삼성동, 오트리스빌딩)",2019-06-10,"이보미 부장
(027392479)"
퀀텀벤처스코리아,02-6954-1095,02-6954-1099,quantumepk.com,12명 (남:6명/여:6명),179-86-00921,12월,"(06164)  서울특별시 강남구 테헤란로87길 36   10층 (삼성동, 도심공항타워)",2017-10-19,"김연지 과장
(02-6954-1095)"
큐브벤처파트너스,02-2038-2577,02-562-0599,www.cubevp.com,5명 (남:5명/여:0명),120-87-44225,12월,"(06158)  서울특별시 강남구 테헤란로 437   ,10층 (삼성동, 삼영빌딩)",2009-05-21,"이련수 팀장
(02-2038-2577)"
크리스탈바이오사이언스,031-628-2899,0,0,4명 (남:3명/여:1명),379-88-01617,12월,(13488)  경기도 성남시 분당구 대왕판교로 700   A동 5층,2019-11-11,"서성동 대리
(031-628-2724)"
크릿벤처스,02-558-1940,02-558-1941,www.crit.vc,5명 (남:5명/여:0명),480-88-01940,12월,(06145)  서울특별시 강남구 선릉로 551   3층,2020-08-11,"김민석 매니저
(02-558-1940)"
클레어보이언트벤처스,02-568-0601,02-568-0609,0,6명 (남:5명/여:1명),120-88-10926,12월,"(06178)  서울특별시 강남구 삼성로 434   13층(대치동, 쥬비스타워)",2014-04-05,"이재은 대리
(010-2222-4324)"
키밸류벤처스,02-517-7685,02-557-7685,www.kvventures.co.kr,5명 (남:4명/여:1명),128-88-02186,12월,"(06192)  서울특별시 강남구 테헤란로 410 (대치동, 금강타워)   4층 403호",2021-09-27,"장미현 사원
(02-517-7685)"
키움인베스트먼트,02-3430-4800,02-3452-9493,www.kiwoominvest.com,18명 (남:14명/여:4명),120-81-87033,12월,(07331)  서울 영등포구 여의도동   36-1 키움파이낸스스퀘어 빌딩 11층,1999-03-05,"최희윤 과장
(02-3430-4882)"
킹고투자파트너스,02-555-7821,02-555-7820,0,8명 (남:6명/여:2명),861-86-00656,12월,"(06164)  서울특별시 강남구 테헤란로87길 36   (삼성동, 도심공항타워)",2017-08-24,"박별희 대리
(02-555-7821)"
타이거자산운용투자일임,070-4015-8878,070-4332-1630,0,36명 (남:20명/여:16명),220-88-68811,03월,"(06134)  서울특별시 강남구 테헤란로7길 11   3층 301호 (역삼동, 한덕빌딩)",2013-12-01,"황경우 팀장
(010-7254-4547)"
타임와이즈인베스트먼트,02-2017-1416,02-557-1187,www.timewiseinvest.com,15명 (남:9명/여:6명),211-86-91293,12월,"(06145)  서울 강남구 선릉로 551   3층 (역삼동, 새롬빌딩)",2000-02-18,"김옥길 부장
(02-2017-1414)"
타임웍스인베스트먼트,269568081,269568086,0,5명 (남:4명/여:1명),102-88-01905,12월,(06158)  서울특별시 강남구 테헤란로 443   애플트리타워 15층,2020-12-10,"이은선 사원
(02-6956-8085)"
탭엔젤파트너스,02-6247-6858,0,0,4명 (남:3명/여:1명),719-86-01072,12월,"(21999)  인천광역시 연수구 갯벌로 12 (송도동, 미추홀타워(본관))   802호",2018-08-31,"강현진 팀장
(01033605747)"
테일,010-3714-9562,0,tail.company,4명 (남:3명/여:1명),231-87-01981,12월,"(06730)  서울특별시 서초구 강남대로39길 26-1   3층(서초동, 거원빌딩)",2020-09-10,"황진희 매니저
(010-6707-6608)"
토니인베스트먼트,02-6959-9138,02-6959-9134,0,9명 (남:5명/여:4명),117-81-93499,12월,(06180)  서울특별시 강남구 테헤란로 518   4층,2020-04-09,"송철화 상무
(02-6959-9138)"
투썬인베스트,031-706-5494,031-729-9797,0,8명 (남:6명/여:2명),129-86-37855,12월,(13494)  경기도 성남시 분당구 판교역로   경기도 성남시 분당구 판교역로,2009-09-16,"정다솜 대리
(010-7387-3302)"
트랜스링크인베스트먼트,02-558-3501,02-6008-5028,0,14명 (남:9명/여:5명),202-81-66780,12월,(06145)  서울특별시 강남구 선릉로 551   새롬빌딩 5층,2020-11-24,"김해하 팀장
(02-558-3501)"
트루윈창업투자,02-6295-3000,02-6295-3015,aginvest,8명 (남:5명/여:3명),107-85-41371,12월,(24206)  강원 춘천시 신북읍 율문리 946   946 (재)강원테크노파크 100호,2009-12-30,"이유림 대리
(02-6295-3000)"
티비티,070-4488-6140,02-511-5998,0,9명 (남:5명/여:4명),842-81-01339,12월,(06035)  서울특별시 강남구 강남대로152길 20   5층,2018-06-29,"유나라 감사
(010-8736-1312)"
티에스인베스트먼트,02-6250-5700,02-6250-5710,www.tsinvestment.co.kr,18명 (남:15명/여:3명),220-87-61581,12월,(06149)  서울 강남구 선릉로 531   3층 302호(694-9번지),2008-02-14,"김지혜 과장
(0262505714)"
티에스피벤처투자,051-745-8727,051-745-9901,0,5명 (남:4명/여:1명),612-87-01782,12월,(48060)  부산광역시 해운대구 APEC로 17   센텀리더스마크 3901호,2020-05-19,"김병태 대표이사
(010-8727-1220)"
티인베스트먼트,02-568-8581,02-568-8582,0,11명 (남:8명/여:3명),580-86-01173,12월,(06126)  서울특별시 강남구 논현로 543   3층(역삼동),2018-12-18,"우종민 차장
(02-568-8581)"
티지씨케이파트너스,070-4066-1191,070-8299-1191,0,5명 (남:2명/여:3명),201-86-37711,12월,"(06158)  서울특별시 강남구 테헤란로   437 (삼성동, 삼영빌딩 9층)",2014-01-23,"차은주 이사
(070-4066-1195)"
티케인베스트먼트,02-533-0292,0504-045-5194,0,6명 (남:6명/여:0명),606-86-64183,12월,"(06605)  서울특별시 서초구 서초중앙로 160   1003호 (서초동, 법률센터)",2019-12-06,"허정욱 팀장
(010-7229-5194)"
파트너스인베스트먼트,02-6248-7600,02-6248-7612,wwww.partnersi.co.kr/,19명 (남:14명/여:5명),592-87-01101,12월,(06152)  서울특별시 강남구 테헤란로 301   삼정빌딩 7층(역삼동),2000-05-02,"정소영 수석매니저
(02-6248-7615)"
패스트벤처스,02-501-7602,02-517-9661,0,10명 (남:8명/여:2명),437-81-01670,12월,"(06160)  서울특별시 강남구 테헤란로 419   5층(삼성동, 강남파이낸스플라자)",2019-11-18,"김영화 감사
(02-501-7602)"
패스파인더에이치,02-568-9048,02-3453-9903,www.pathfinderh.com,9명 (남:7명/여:2명),459-86-00526,12월,"(06173)  서울특별시 강남구 테헤란로113길 7   (삼성동, 백암아트홀별관 5층)",2016-10-25,"이루지 과장
(02-739-9041)"
팰콘제이파트너스,02-6485-6000,02-6485-6001,www.falconj.co.kr,5명 (남:5명/여:0명),732-86-01911,12월,(06181)  서울특별시 강남구 테헤란로98길 16   8층,2020-06-01,"정우찬 이사
(0264856000)"
펜처인베스트,070-4124-9603,02-790-5636,0,7명 (남:5명/여:2명),186-86-01495,12월,(04417)  서울특별시 용산구 한남대로 130   2층 (한남동),2019-07-31,"윤주영 과장
(070-7609-1446)"
포레스트벤처스,02-569-6066,02-3474-8990,0,7명 (남:6명/여:1명),537-81-02421,12월,"(06175)  서울특별시 강남구 테헤란로108길 25 (대치동, 대동빌딩)   5층",2021-09-01,"정은희 과장
(02-569-6066)"
포스코기술투자,054-281-8486,054-281-8487,posventure.co.kr,38명 (남:30명/여:8명),506-81-26211,12월,(37673)  경상북도 포항시 남구 청암로   87,1997-06-18,"정세미 사원
(02-3457-6357)"
포항공과대학교기술지주,02-6949-3665,0507-0337-7197,postechholdings.com/,9명 (남:6명/여:3명),506-81-80200,12월,"(37673)  경상북도 포항시 남구 청암로 77   2층 208호(지곡동,무은재기념관)",2012-06-12,"이지수 주임
(02-2023-8422)"
퓨처플레이,02-557-1805,02-508-1805,futureplay.co,56명 (남:30명/여:26명),264-81-19908,12월,"(04769)  서울특별시 성동구 왕십리로 83-21 (성수동1가, 아크로서울포레스트)   8F Acro Seoul Forest D-tower, 83-21 Wangsimni-ro, Seongdong-gu, Seoul, Korea",2013-03-28,"조은영 팀장
(025571805)"
프라이머시즌5,1091510451,0,0,6명 (남:3명/여:3명),277-87-00708,12월,(04213)  서울특별시 마포구 마포대로 122   16층,2017-07-21,"김지연 매니저
(01091510451)"
프로디지인베스트먼트,070-8868-7978,070-8868-7978,0,5명 (남:3명/여:2명),796-88-00884,12월,(06147)  서울특별시 강남구 언주로 542   9층(역삼동),2017-12-20,"김성준 부사장
(010-8651-1593)"
프리미어파트너스,02-554-0030,02-554-6442,www.premierpartners.co.kr,29명 (남:21명/여:8명),120-86-86081,12월,"(06176)  서울특별시 강남구 영동대로   416 (대치동, KT&G타워) 2층",2005-09-01,"박서은 과장
(02-554-6144)"
플래티넘기술투자,02-6246-3114,02-6246-3113,www.pltic.co.kr,6명 (남:5명/여:1명),120-81-98374,12월,"(06162)  서울특별시 강남구 테헤란로 409   14층 (삼성동, 동신빌딩)",2000-01-19,"강미옥 팀장
(02-6246-3119)"
플랜에이치벤처스,02-6177-1500,0,www.planhventures.co.kr,6명 (남:5명/여:1명),314-86-66074,12월,(06768)  서울특별시 서초구 양재대로2길 18   플랜에이치벤처스,2019-02-12,"황인국 차장
(010-9868-1142)"
플럭스벤처스,02-3445-8717,02-3445-8716,0,4명 (남:3명/여:1명),813-87-02481,12월,"(06014)  서울특별시 강남구 선릉로152길 12 (청담동, 담빌딩)   B1",2021-12-03,"배상철 대표이사
(010-9083-1096)"
피앤아이인베스트먼트,02-6925-4591,02-6925-4592,0,6명 (남:4명/여:2명),450-81-00086,12월,(06162)  서울특별시 강남구 테헤란로63길 11   이노센스빌딩 13층,2015-03-31,"방주하 부장
(010-9360-0031)"
피앤피인베스트먼트,031-622-3953,031-622-3959,0,13명 (남:10명/여:3명),442-88-01104,12월,(13487)  경기도 성남시 분당구 판교로228번길 15   2동 701호,2018-09-28,"김남정 대표이사
(010-5346-3980)"
필리안벤처투자,1065524320,25984320,0,2명 (남:1명/여:1명),235-86-02078,12월,(06627)  서울특별시 서초구 사임당로 174   502호(강남미래타워),2021-06-21,"이다솜 대표이사
(010-6552-4320)"
하나벤처스,02-2006-6000,02-565-3439,www.hanaventures.co.kr,23명 (남:14명/여:9명),595-87-01153,12월,(06169)  서울특별시 강남구 테헤란로 509   (삼성동 엔씨타워I) 8F,2018-10-04,"이진희 차장
(02-2006-6012)"
하이투자파트너스,02-761-8600,02-6959-3352,www.srvc.co.kr,9명 (남:7명/여:2명),105-88-08440,12월,"(06169)  서울특별시 강남구 테헤란로 513 (삼성동, 삼성동 K타워)   5층",2014-08-29,"이은혜 팀장
(02-761-8600)"
한국가치투자,061-285-7300,061-285-7027,0,5명 (남:4명/여:1명),894-87-02307,12월,(58747)  전라남도 목포시 원형동로 16 (상동)   3층,2021-11-11,"정필완 전무
(010-2747-2440)"
한국벤처투자,02-2156-2000,02-2156-2001,www.k-vic.co.kr,113명 (남:82명/여:31명),120-86-02742,12월,(06595)  서울시 서초구 서초대로 45길   16 VR빌딩 5층,2000-03-31,"이혜지 심사역
(02-2156-0000)"
한국투자파트너스,02-6001-5300,02-6001-5301,www.kipvc.com,96명 (남:64명/여:32명),116-81-15980,12월,(06164)  서울특별시 강남구 영동대로 517   아셈타워 1001호,1986-11-25,"김창호 이사
(02-6001-5306)"
한빛인베스트먼트,02-521-7141,02-521-7144,www.hbic.co.kr,6명 (남:4명/여:2명),601-81-19183,12월,"(06724)  서울특별시 서초구 남부순환로 2495 원림빌딩   2498, 10",1999-04-11,"임화자 이사
(025210075)"
한세예스24파트너스,02-3755-2122,0,0,3명 (남:2명/여:1명),121-87-01724,12월,"(07242)  서울특별시 영등포구 은행로 30   본관 10층(여의도동, 중소기업회관)",2020-08-10,"곽효경 주임
(02-3775-2125)"
한화투자증권,02-3772-7457,02-3772-7686,www.hanwhawm.com,13명 (남:11명/여:2명),116-81-19031,12월,(07325)  서울시 영등포구 여의대로 56   한화증권빌딩,1962-07-19,"장선희 과장
(02-3772-7457)"
해시드벤처스,1051931756,30334455655,0,12명 (남:10명/여:2명),508-81-42333,12월,(06232)  서울특별시 강남구 테헤란로4길 14   3층,2020-08-25,"박영란 부장
(01051931756)"
허드슨헨지인베스트먼트,070-8873-8558,02-561-5123,0,4명 (남:4명/여:0명),822-81-02241,12월,"(06071)  서울특별시 강남구 영동대로 741 (청담동, 은성빌딩)   11층",2021-11-23,"오재준 부사장
(010-3290-6932)"
현대기술투자,02-728-8881,02-728-8999,www.hvic.co.kr,18명 (남:12명/여:6명),202-81-58790,12월,(06163)  서울특별시 강남구 삼성로 566   빌딩M 5층,1997-04-08,"김은영 상무
(02-728-8963)"
